Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,-6.56845352564806E-07,-5.69677584763001E-16,0.331904075260688,0,0,0,0.789290645343358,0.00130670897233411,-3.37115251526543E-18,-8.9296817126679E-10,0.00389981821392557,8.73266086519944E-19,0.00386978211033499,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/base_footprint_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/base_footprint_link.STL,,GRD_Base_v8-1;GRD_side_v8_opencr-1;GRD_side_v8_opencr-2;GRD_front_face_v8-1;GRD_frontcenterconnect-1;GRD_Front_v8-1;GRD_Front_v8-2;GRD_frontcenterconnect-2;GRD_front_face_v8-2,base_footprint_link_,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-5.37004284522618E-07,-8.88806750348617E-16,0.0331211817986434,0,0,0,0.965433444631341,0.00134888440724559,-3.36680002563451E-18,-8.92968171268089E-10,0.00392787450302288,8.79586266486297E-19,0.00391770229232179,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/base_link.STL,,"GRD_Base_v8-1;GRD_side_v8_opencr-1;GRD_side_v8_opencr-2;GRD_Front_v8-2;GRD_frontcenterconnect-2;GRD_front_face_v8-2;GRD_frontcenterconnect-1;GRD_Front_v8-1;GRD_front_face_v8-1;XM,H-430_idler-5;XM,H-430_idler-2;XM,H-430_idler-3;XM,H-430_idler-4",base_link_,,base_link_joint,fixed,0,0,0.3,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
FR1_link,0.0264718868981586,4.76615570639827E-05,-2.7351512728653E-05,0,0,0,0.0550356079426859,1.0220547570515E-05,9.21599173562303E-08,-1.71566533100838E-08,1.27189731796972E-05,1.13739465021943E-08,1.39399348608685E-05,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR1_link.STL,,"GRD_motor2_fr-1/fr12_s102-1;GRD_motor2_fr-1/XM,H-430_idler-1;GRD_motor2_fr-1/GRD_motor_connection_v7_4-1",FR1_,FR1__,FR1_joint,revolute,0.1579,-0.0491,0.0385,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR2_link,-0.0624107306327838,-0.0425760729820302,0.000529563391455136,0,0,0,0.265486140481839,0.000116723599677101,-2.14812123202204E-05,2.08751212461461E-07,0.00110660608370148,-1.032474678319E-06,0.00102345902950224,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR2_link.STL,,"GRD_motor3_fr-1/GRD_motor_motor_connection_v7-1;GRD_motor3_fr-1/XM,H-430_idler_2019-1;GRD_motor3_fr-1/grd_leg_26_v8-1-1;GRD_motor3_fr-1/grd_leg_26_v8-2-2",FR2_,FR2__,FR2_joint,revolute,0.0361,-0.023398,0.00029452,0,0,0,FR1_link,0,0.99992,-0.012586,0,0,0,0,,,,,,,,
FR3_link,2.74157606547365E-08,-0.00900759466989609,-0.127567232195809,0,0,0,0.12115155954286,0.00022295848229437,1.34125875104812E-11,2.72703347801638E-10,0.000224386212329487,-2.59892552803724E-06,1.66449742664474E-05,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FR3_link.STL,,GRD_motor4_fr-1/GRD_Leg2_v8-2-1;GRD_motor4_fr-1/foot-2,FR3_,FR3__,FR3_joint,revolute,-0.21,-0.041397,0.00052108,0,0,0,FR2_link,0,-0.99992,0.012586,0,0,0,0,,,,,,,,
FL4_link,0.0264718868981555,-4.80020392728125E-05,2.67494578489041E-05,0,0,0,0.0550356079426499,1.02205475705113E-05,-9.23685580005691E-08,1.59953309685416E-08,1.27188803100972E-05,-3.99597507376529E-09,1.39400277304636E-05,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL4_link.STL,,"GRD_motor2_fl-1/fr12_s102-1;GRD_motor2_fl-1/XM,H-430_idler-1;GRD_motor2_fl-1/GRD_motor_connection_v7_4-1",FL4_,FL4__,FL4_joint,revolute,0.1579,0.0491,0.0388,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL5_link,-0.0624080431136424,0.0425793659077429,0.000579015400427471,0,0,0,0.265486134497846,0.000116801069407084,2.14813644290052E-05,8.38101370329994E-06,0.00110661888250558,-1.82819236795351E-07,0.001023368725898,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL5_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL5_link.STL,,"GRD_motor3_fl-1/GRD_motor_motor_connection_v7-1;GRD_motor3_fl-1/XM,H-430_idler_2019-1;GRD_motor3_fl-1/grd_leg_26_v8-2-2;GRD_motor3_fl-1/grd_leg_26_v8-1-1",FL5_,FL5__,FL5_joint,revolute,0.0361,0.0234,0,0,0,0,FL4_link,0,-1,0,0,0,0,0,,,,,,,,
FL6_link,-0.00378870428557081,0.0073987331703962,-0.127614277918269,0,0,0,0.12115157499788,0.000222776830984035,4.96708866284164E-10,-6.12051528661523E-06,0.000224418771535467,1.63979247188469E-08,1.67941699637976E-05,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL6_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/FL6_link.STL,,GRD_motor4_fl-1/GRD_Leg2_v8-2-1;GRD_motor4_fl-1/foot-2,FL6_,FL6__,FL6_joint,revolute,-0.20999,0.0414,0.0019269,0,0,0,FL5_link,0,1,0,0,0,0,0,,,,,,,,
RR7_link,-0.0234991038936837,0.0007237152559188,1.51658006125599E-07,0,0,0,0.064404748374352,1.31324768595347E-05,4.20354127351148E-08,-3.5034433524837E-08,1.51194833409556E-05,2.76284960576828E-10,1.56355492340351E-05,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/RR7_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/RR7_link.STL,,"GRD_motor2_rr-1/GRD_motor_connection_v7_3-1;GRD_motor2_rr-1/XM,H-430_idler-2;GRD_motor2_rr-1/GRD_motor_connection_v7_4-2",RR7_,RR7__,RR7_joint,revolute,-0.1579,-0.0491,0.0385,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RR8_link,-0.0624107305967427,-0.0425793634814681,-1.52811744668982E-05,0,0,0,0.26548614038711,0.000116723599664994,-2.1482124761844E-05,-6.61383690814395E-08,0.00110661888981649,3.17216912039723E-08,0.00102344622233838,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/RR8_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GRD_v8_simple.SLDASM/meshes/RR8_link.STL,,"GRD_motor3_rr-1/GRD_motor_motor_connection_v7-1;GRD_motor3_rr-1/XM,H-430_idler_2019-1;GRD_motor3_rr-1/grd_leg_26_v8-2-2;GRD_motor3_rr-1/grd_leg_26_v8-1-1",RR8_,RR8__,RR8_joint,revolute,-0.01285,-0.0231,0,0,0,0,RR7_link,0,1,0.00020955,0,0,0,0,,,,,,,,
